nombre,tipo_unidad,domicilio,asentamiento,ciudad,cp,estado,municipio,no_tel,responsable_puesto,pagina_web,correo_electronico,mineral,realiza,longitud_x,latitud_y,fecha_actualizacion
"Grafitos Mexicanos, S.A. de C.V.",Empresa,Reforma n.°89 esquina Tlaxcala. Colonia San Benito,San Benito,Hermosillo,83190,Sonora,Aconchi,662 214 4449,"Aguirre Calles Jesús Adolfo, Director general",s/i,grafitosmexicanos@prodigy.net.mx,Grafito,"Comercialización, extracción",-110.9677,29.09551,jan-25
"Gramol, S.A de C.V.",Empresa,Perif. Luis Echeverría Álvarez n.° 443. Colonia República,República,Saltillo,25280,Coahuila de Zaragoza,Saltillo,844 134 5112,s/i,s/i,fernando.balandran@gramol.com.mx,"Caliza, grava","Comercialización, explotación",-100.973,25.418806,jan-25
Granite y Marble.,Empresa,José María Morelos y Pavón n.° 11. Colonia Industrial,Industrial,Tecate,21430,Baja California,Tecate,665 393 2536,s/i,s/i,s/i,Mármol,Comercialización,-116.609861,32.574917,jan-25
"Granmin, S.A. de C.V.",Empresa,Av. De Anza n.° 701 esquina José Gutiérrez. Colonia Pitic,Pitic,Hermosillo,83150,Sonora,Hermosillo,662 267 8073,"Piggott Keith, Director general",goldgroupmining.com,in_@hotmail.com,Oro,"Comercialización, explotación",-110.94125,29.09848,jan-25
Grupo ABC,Empresa,Ctra. Mérida-Pto. Juárez km 309 . Colonia Juárez,Juárez,Benito Juárez,77500,Quintana Roo,Benito Juárez,998 881 8600,s/i,www.grupoabc.mx,contacto@grupoabc.mx,Agregados pétreos,"Comercialización, fabricación",-86.908528,21.1355,jan-25
"Grupo Calhidra de Sonora, S.A. de C.V.",Empresa,Ctra. A Sahuaripa km 5.5. Colonia Parque Industrial,Parque Industrial Hermosillo,Hermosillo,83299,Sonora,Aconchi,662 208 4850,"García Cortinas Catarino, Gerente general",www.calidra.com/es,cgarcia@calidra.com.mx,Cal,"Comercialización, extracción",-110.87347,29.01842,jan-25
"Grupo Minero Lozoya, S. de R.L. de C.V.",Empresa,Ctra. Matamoros-Hidalgo del Parral km 388 . Colonia Matamoros Centro,Matamoros Centro,Matamoros,33960,Chihuahua,Matamoros,628 548 0117,s/i,s/i,mineralozoya@hotmail.com,"Cobre, oro, plata, plomo, zinc","Exploración, explotación",-105.590972,26.770556,jan-25
"Grupo RCH, S.A. de C.V.",Empresa,Ctra. Pachuca-Zimapán. Colonia Llano Blanco,Llano Blanco,Zimapán,42344,Hidalgo,Zimapán,442 467 4819,"Contreras Hernández Ramón, Encargado de planta",www.gruporch.com,gruporchmx@gmail.com,Mármol,Compra,-99.38251,20.763053,jan-25
"Guadalupe de la Brisa, S.A. de C.V.",Empresa,Plaza Alejandra n.° 321. Colonia Fracc. San Isidro,San Ignacio,Durango,34030,Durango,Durango,618 146 2455,"Zavala Urbina Ángel, Director general",s/i,labrisatopia@omanet.com.mx,"Oro, plata, plomo, zinc","Comercialización, desarrollo minero, exploración, explotación, extracción",-104.661735,24.042605,jan-25
Guanajuato Silver Company Ltd.,Empresa,Ex hacienda de Bustos s/n. Colonia Cata,Cata,Guanajuato,36010,Guanajuato,Guanajuato,473 102 0600,"Dorado Smith Hernán , Director y jefe de estrategia",www.gsilver.com,info@gsilver.com,"Oro, plata, plomo, zinc",Explotación,-101.25206,21.0321,jan-25
Holcim Apasco,Empresa,Ctra. A Bahía de Kino km 12. Colonia Prolongación La Manga,La Manga,Hermosillo,83220,Sonora,Hermosillo,662 143 0357,"Hernández Vera Héctor Guillermo, Coordinador de zona",www.holcim.com.mx,hector.hernandez@holcimapasco.com.mx,Caliza,"Comercialización, extracción",-111.073389,29.079611,jan-25
"Holcim México, S.A. de C.V.",Empresa,Av. Carlos Graef Fernández n.° 222. Colonia Santa Fe Cuajimalpa,Santa Fe Cuajimalpa,Cuajimalpa de Morelos,5348,Ciudad de México,Cuajimalpa de Morelos,555 724 0000,"Rodríguez Adrián, Director ejecutivo",www.holcim.com.mx,adrian.rodriguez@holcim.com,"Agregados pétreos, arena, carbonato de calcio, grava","Comercialización, distribución de material de construcción, fabricación",-99.077864,19.372397,feb-25
Héctor Romeo Castro Sánchez,Empresa,Domicilio conocido. Colonia San Lázaro,San Lázaro Etla,Reyes Etla,68238,Oaxaca,Reyes Etla,951 195 0046,"Castro Sánchez Héctor Romeo, Administrador",s/i,cassa_romeo@hotmail.com,Arena y grava,Comercialización,-96.812247,17.234541,jan-25
"IMR Bonanza, S.A. de C.V.",Empresa,Los Tanques n.° 60. Colonia Santa Fe,Santa Fe,Hermosillo,83249,Sonora,Hermosillo,662 105 6305,"Willys Yaser Pavel, Gerente de exploración",imr-resources.com,pavel.willys@imr-resources.com,"Oro, plata","Comercialización, explotación",-110.9891,29.08577,jan-25
"Inducalcio, S.A de C.V.",Empresa,Agiabampo 511-C. Colonia Sonora,Sonora,Navojoa,85890,Sonora,Navojoa,642 422 4499,"Sánchez Acosta Eduardo, Gerente general",www.inducalcio.com.mx,inducalcio@hotmail.com,"Carbonato de calcio, marmolina",Comercialización,-109.434,27.074,jan-25
"Industria Salinera de Yucatán, S.A. de C.V.",Empresa,Av. Paseo Montejo n.° 333. Colonia Benito Juárez Nte.,Benito Juárez Nte,Mérida,97119,Yucatán,Mérida,999 942 3500,"Palomeque Roche José Rafael, Director general",www.gruporoche.com.mx/empresas/detalle/isysa,jpal@isysa.com.mx,Sal,"Comercialización, extracción",-89.620588,21.019985,jan-25
"Industrial Minera México, S.A. de C.V. (Oficina 1)",Empresa,Estación Santiago. Colonia Campesina,Morales,San Luis Potosí,78180,San Luis Potosí,San Luis Potosí,444 144 0600,"Larrea Mota Velasco Germán, Director general",s/i,marlene.finny@gméxico.mx,"Cobre, oro, plata, plomo, zinc","Comercialización, extracción",-101.034127,22.171904,jan-25
"Industrial Minera México, S.A. de C.V. (Oficina 2)",Empresa,Campos Elíseos n.° 400. Colonia Lomas de Chapultepec III Sección,Lomas de Chapultepec III Sección,Miguel Hidalgo,11000,Ciudad de México,Miguel Hidalgo,551 103 5000,s/i,www.gmexico.com,marlene.finny@gmexico.mx,"Cobre, oro, plata, plomo, zinc","Exploración, explotación",-99.203028,19.429417,jan-25
"Industrial Minera Raya, S.A. de C.V.",Empresa,Primera Privada de Selenio n.° 145. Colonia Ciudad Industrial,Ciudad Industrial,Durango,34208,Durango,Durango,618 130 1021,"Ruíz Raya Jesús, Director general",s/i,jesusruizr@hotmail.com,"Oro, plata, plomo, zinc","Comercialización, desarrollo minero, exploración, explotación, extracción",-104.609927,24.062943,jan-25
"Industrializadora de Caliza, S.A. de C.V. (INCASA)",Empresa,Núñez y Domínguez n.° 245. Colonia Virreyes,sin dato,sin dato,78001,San Luis Potosí,San Luis Potosí,444 833 3863,"Araujo Araceli, encargada de ventas",www.incasa.com.mx,aaraujo@incasa.com.mx,Caliza,"Comercialización, extracción",-101.010787,22.143302,jan-25
"Industrias Magnelec, S.A. de C.V.",Empresa,"Calz. Manuel Gómez Morín n.° 444, esq. Turín. Colonia Torreón Residencial",Torreón Residencial,Torreón,27268,Coahuila de Zaragoza,Torreón,800 713 3582,"Rebollar Rafael, Director metales y químicos",www.penoles.com.mx,info@penoles.com.mx,Óxido de magnesio,Comercialización,-103.401472,25.523139,jan-25
"Internacional de Cerámica, S.A.B. de C.V.",Empresa,Av. Carlos Pacheco n.° 7200. Colonia Madera 65,Madera 65,Chihuahua,31060,Chihuahua,Chihuahua,614 429 1166,"Almeida García Víctor David, Director general / Lugo Aranda León Felipe, Director de finanzas y administración",interceramic.com,inversionistas@interceramic.com / fbtoledo@interceramic.com,"Arcilla, losetas cerámicas","Comercialización, extracción, fabricación",-106.035351,28.630422,jan-25
"Inversiones Mineras La Sorpresa, S.A. de C.V.",Empresa,Cerro Gordo n.° 108. Colonia Fracc. Lomas del Parque,Lomas del Parque,Durango,34100,Durango,Durango,618 130 2471,"Sánchez Jesús Antonio, Gerente general",www.sorpresamining.com,contact@imls.mx,"Oro, plata, plomo, zinc","Desarrollo minero, exploración, explotación, extracción",-104.690698,24.018589,jan-25
"Koura Global, S.A. de C.V. (Mexichem Fluor).",Empresa,Eje 106 s/n. Colonia Zona Industrial,Zona Industrial,San Luis Potosí,78395,San Luis Potosí,San Luis Potosí,444 826 7700,"Valle Martín Héctor José, Director",s/i,hector.valle@kouraglobal.com,Fluorita,Extracción,-100.916733,22.110889,jan-25
"Las Encinas, S.A. de C.V.",Empresa,Domicilio conocido s/n. Colonia Alzada,Alzada,Cuauhtémoc,28597,Colima,Cuauhtémoc,813 067 0222,"Ferrari Diego Adrián, Director de minería",mx.ternium.com/es,iangulo@ternium.com.mx,Hierro,Extracción,-99.96533,25.75096,jan-25
"Las Minas de La Joya, S.C. de R.L.",Empresa,Corregidora n.° 8. Colonia Paraje Los Gavilanes,Cualác,Cualác,41080,Guerrero,Huamuxtitlán,757 107 1243,"Sánchez Sosa Rolando, Secretario",s/i,s/i,Agregados pétreos,Comercialización,-98.559622,17.795052,jan-25
"Liquid Química Mexicana, S.A. de C.V.",Empresa,Ctra. Tlalnepantla km 31.5. Colonia Loma Bonita,Cuautitlán Centro,Cuautitlán,54800,Estado de México,Cuautitlán,555 872 0807,"Vargas Velasco Miguel Ángel, Director general",www.liquidquimica.com,miguel.velasco@imerys.com,Carbonato de calcio,"Comercialización, extracción",-99.183796,19.648559,jan-25
"Mapei de México, S.A. de C.V.",Empresa,Camino a San Antonio n.° 28. Colonia El Fas,El Calvario,Zimapán,42337,Hidalgo,Zimapán,759 728 3004,"Pérez Álvarez Bernardino, Subgerente de logística",www.mapei.com,bernardino.perez@mapei.com,Caliza recristalizada,Compra,-99.392597,20.733244,jan-25
"Marley, IS. S.P.R. de R.L.",Empresa,Domicilio conocido. Colonia s/i,undefined,Carmen,24310,Campeche,Carmen,982 825 0515,"Chan García Fernando, Encargado de planta",s/i,changarcia@hotmail.com,Agregados pétreos,Comercialización,-90.909367,18.882838,jan-25
Marmolería Lapidas Aries Trc,Empresa,Ctra. Torreón-Matamoros n.° 703. Colonia Amistad,Amistad,Torreón,27087,Coahuila de Zaragoza,Torreón,871 731 5426,s/i,s/i,s/i,Mármol,Comercialización,-103.355528,25.535222,jan-25
María del Carmen Adolfina Grijalva Ortiz,Empresa,3. ª priv. De Camino Real n.° 3. Colonia Fraccionamiento La Joya,La Joya,San Lorenzo Cacaotepec,68263,Oaxaca,San Pablo Etla,951 182 0037,"Alvarado Grijalva María Teresa, Responsable de producción",mineralesdeantequera.com/index.html,mineraleslyt@hotmail.com,Vermiculita,"Comercialización, extracción",-96.668729,16.816713,jan-25
Materiales Las Dos Costas,Empresa,Calz. Pie de La Cuesta n.° 5. Colonia Centro,Acapulco de Juárez Centro,Acapulco de Juárez,39300,Guerrero,Acapulco de Juárez,744 482 1807,"Latabán Hernández Gonzalo, Gerente general",materialeslasdoscostas.com,materialeslasdoscostas@hotmail.com,Agregados pétreos,Comercialización,-99.907681,16.857121,jan-25
"Materiales Torresdey, S. de R.L. M.I.",Empresa,Ctra. Parral-Santa Bárbara s/n. Colonia La Palmilla,La Palmilla,Hidalgo del Parral,33826,Chihuahua,Santa Bárbara,627 521 1784,"Torresdey Sáenz José, Gerente",s/i,jtorresdeys@hotmail.com,"Agregados pétreos, arena, basalto, caliche",Distribución de material de construcción,-105.7634,26.9143,jan-25
"Materiales de Yucatán, S.A. de C.V.",Empresa,Domicilio conocido. Colonia Mérida,Oncán,Mérida,97310,Yucatán,Mérida,999 649 4209,s/i,www.materialesdeyucatan.com.mx,agentedeventas@mayucsa.com.mx,Agregados pétreos,"Comercialización, fabricación",-89.478477,20.974186,jan-25
Mercado de Materiales,Empresa,Av. Central Dr. Belisario Domínguez n.° 175. Colonia Nicalocok,Nicalocok,Comitán de Domínguez,30068,Chiapas,Comitán de Domínguez,s/i,s/i,s/i,s/i,Agregados pétreos,Distribución de material de construcción,-92.136333,16.238417,jan-25
Metalúrgica Met-Mex Peñoles,Empresa,Blvd. Laguna n.° 3200 pte. Colonia Metalúrgica,Metalúrgica,Torreón,27370,Coahuila de Zaragoza,Torreón,871 729 5500,"Rebollar Rafael, Director de metales y químicos",www.mmpenoles.com,rodolfo_cedillo@penoles.com.mx,"Cobre, oro, plata, plomo, zinc","Comercialización, explotación, extracción",-103.444889,25.523194,jan-25
"Mexicana de Cobre, S.A. de C.V.",Empresa,Ctra. A Bahía de Kino km 85. Colonia La Manga,La Manga,Hermosillo,83220,Sonora,Hermosillo,662 109 2100,"Martínez José Antonio, Director de operaciones",www.gmexico.com,joseantonio.martinez@mm.gmexico.com,"Cobre, molibdeno",Explotación,-111.031,29.094,jan-25
"Mexilit, S.A. de C.V.",Empresa,C. de las Galaxias 68. Colonia Parque Industrial,Parque Industrial Sonora,Hermosillo,83297,Sonora,Hermosillo,662 251 0360,"Eric Carter, Director de proyectos",www.bacanoralithium.com,info@bacanoralithium.com,Litio,Exploración,-110.985,29.022,jan-25
Millrock Resources INC,Empresa,Blvd. García Morales 200. Colonia El Llano,El Llano,Hermosillo,83210,Sonora,Hermosillo,662 267 2121,"Gibler Kati, Gerente general / Salazar S. Héctor, Administrativo",www.millrockresources.com,kgibler@millrockresources.com / hsalazar@millrockresources.com,Cobre,Exploración,-111.001,29.094,jan-25
"Mina Bolañitos, S.A. de C.V.",Empresa,Ctra. A Cristo Rey s/n. Colonia Mineral de la Luz,Mineral de la Luz,Guanajuato,36243,Guanajuato,Guanajuato,477 102 1800,"Meleger Galina, Relación con inversionistas",edrsilver.com,info@edrsilver.com,"Oro, plata","Exploración, extracción",-101.329833,21.066528,jan-25
"Minas de Bacís, S.A. de C.V.",Empresa,Selenio n.° 168. Colonia Ciudad Industrial,Ciudad Industrial,Durango,34208,Durango,Durango,618 814 2524,"Gutiérrez Núñez José Jaime, Presidente y CEO",www.grupobacis.com.mx,gpobacis@bacis.com.mx,"Oro, plata",Comercialización,-104.606097,24.067981,jan-25
"Minas de Oro Nacional, S.A. de C.V.",Empresa,C. de los Pima n.° 81. Colonia Parque Industrial,Parque Industrial Hermosillo,Hermosillo,83299,Sonora,Hermosillo,662 217 3707,"Chávez Martínez Luis, Vicepresidente / Martínez Marcelo, Gerente general",www.alamosgold.com,luis.chavez@minasdeoro.com / marcelo.martinez@minasdeoro.com,Oro,Explotación,-110.905271,29.021476,jan-25
"Miner Quin, S. de R.L.",Empresa,Camino a la Estanzuela n.° 17. Colonia El Calvario,El Calvario,Zimapán,42337,Hidalgo,Zimapán,772 120 5555,"Quintero Ocampo Alejandro, Gerente general",www.minerquin.com,aqo13@hotmail.com,Fosforita,"Comercialización, extracción",-99.39195,20.73366,jan-25
"Minera Capela, S.A. de C.V.",Empresa,Calz. Legaria n.° 549. Colonia 10 de abril,10 de Abril,Miguel Hidalgo,11250,Ciudad de México,Miguel Hidalgo,736 366 5800,"Moreno Delgado Humberto, Gerente general",www.penoles.com.mx,humberto_moreno@penoles.com.mx,"Cobre, oro, plata, plomo, zinc",Desarrollo minero,-99.207145,19.447691,jan-25
"Minera Cimarrón, S. A. de C. V.",Empresa,Volcán Vesubio 6381. Colonia El Colli Urbano,sin dato,sin dato,45070,Jalisco,Zapopan,331 031 5250,"Vera Juan, Gerente de planta",s/i,minecimarron@yahoo.com,"Oro, plata",Explotación,-103.43709,20.64411,jan-25
"Minera El Roble, S.A.B. de C.V.",Empresa,Calz. Manuel Gómez Morín n.° 444. Colonia Torreón Residencial,Torreón Residencial,Torreón,27268,Coahuila de Zaragoza,Torreón,871 729 3300,"González José Luis, Gerente general",www.penoles.com.mx,josel_gonzalez@penoles.com.mx,"Cobre, oro, plata, plomo, zinc","Desarrollo minero, exploración, explotación, extracción",-103.401322,25.523151,jan-25
"Minera Evrim, S.A de C.V.",Empresa,Calz. San Bernardino 82. Colonia Casa Grande,Casa Grande Residencial I,Hermosillo,83246,Sonora,Hermosillo,662 264 8055,"Fuentes Luz Elena, Gerente de administración y contabilidad",www.evrimresources.com,luzelena@evrimresources.com,"Oro, plata",Desarrollo minero,-110.999,29.08,jan-25
Minera Fresnillo,Empresa,Hidalgo n.° 451. Colonia Fresnillo Centro,Fresnillo Centro,Fresnillo,99000,Zacatecas,Fresnillo,555 279 3000,s/i,www.fresnilloplc.com; www.penoles.com.mx,ir@fresnilloplc.com,"Plata, plomo, zinc","Exploración, extracción",-102.871806,23.166417,jan-25
"Minera Frisco, S.A.B. de C.V.",Empresa,"Av. Paseo de las Palmas n.° 781, piso 7. Colonia Lomas de Chapultepec",Lomas de Chapultepec III Sección,Miguel Hidalgo,11000,Ciudad de México,Miguel Hidalgo,552 122 2600,"Galicia Sánchez Sergio Javier, Director de finanzas / García Andrés Javier, Relación con inversionistas / Kuri Kaufman Gerardo, Director general",www.minerafrisco.com.mx,s.galicias@minerafrisco.com.mx / a.garciaz@minerafrisco.com.mx / a.garciaz@minerafrisco.com.mx,"Cobre en concentrados, conc. en plomo y plata, oro y plata (barra doree), zinc en concentrados","Desarrollo minero, exploración, explotación",-99.216821,19.428931,jan-25
"Minera Golondrina, S.A. de C.V.",Empresa,Av. Trece n.° 100. Colonia Buganvilias,Buganvilias,Hermosillo,83140,Sonora,Hermosillo,662 215 7477,"Yeomans Guadalupe, Gerente",www.imdex.ramico.com.mx,mineracascabel@hotmail.com,"Oro, plata",Exploración,-110.959604,29.119541,jan-25
"Minera Guayacanes, S. de R.L. de C.V.",Empresa,Piedras Verdes s/n. Colonia Nuevo Piedras Verdes,Nuevo Piedras Verdes,Álamos,85773,Sonora,Cajeme,614 410 8344,"González Vargas Miguel Ángel, Gerente general",www.cobredelmayo.com,miguel.gonzv@cobredelmayo.com,Cobre,Explotación,-108.997861,27.168833,jan-25
"Minera Indé de Durango, S.A. de C.V.",Empresa,Carlos de Tapia n.° 113. Colonia Tangamanga,Tangamanga,San Luis Potosí,78269,San Luis Potosí,San Luis Potosí,444 844 0758,"Mendoza Díaz Víctor Hugo, Gerente general",www.mineraindedurango.com.mx,vmendoza@minerainde.com.mx,"Plata, plomo, zinc","Comercialización, desarrollo minero, exploración, explotación, extracción",-100.992688,22.138323,jan-25
"Minera JM, S.A. de C.V.",Empresa,Francisco González Bocanegra n.° 91. Colonia Periodista,Periodista,Hermosillo,83156,Sonora,Hermosillo,662 210 7340,"Rodríguez María Elena, Gerente administrativo",www.kootenaysilver.com,rguezmale@yahoo.com,"Oro, plata",Exploración,-110.943736,29.107118,jan-25
Minera Magna,Empresa,Blvd. Paseo de las Quintas 123. Colonia Cataviña,Las Palmas,Hermosillo,83270,Sonora,Hermosillo,662 310 0326,"Bonilla Arturo, Presidente",magnagoldcorp.com,mangelsotob@magnagoldcorp.com,Oro,"Exploración, explotación, extracción",-110.991,29.079,jan-25
"Minera Maple, S.A. de C.V.",Empresa,Terreros n.° 7. Colonia Naica,Naica,Saucillo,33640,Chihuahua,Saucillo,639 139 0300,"Vázquez Humberto, Director de minas",www.penoles.com.mx,investor_relations@penoles.copm.mx,"Plomo, zinc","Comercialización, exploración",-105.495806,27.85075,jan-25
"Minera María, S.A. de C.V.",Empresa,Ctra. Agua Prieta-Imuris km 99. Colonia Cananea,Heroica Ciudad de Cananea Centro,Cananea,84620,Sonora,Cananea,645 332 5096,"Ramírez José Luis, Responsable",www.minerafrisco.com.mx,cinigo@condumex.com.mx,"Cobre catódico, cobre en concentrados, molibdeno en concentrados",Exploración,-110.427192,31.042457,jan-25
"Minera Media Luna, S.A. de C.V.",Empresa,Av. Ejército Nacional n.° 404. Colonia Polanco,Polanco V Sección,Miguel Hidalgo,11560,Ciudad de México,Azcapotzalco,723 123 6000,"Villaseñor Vargas Irma Lizette, Gerente de recursos humanos",torexgold.com,lizette.vargas@torexgold.com,"Cobre, oro, plata","Desarrollo minero, exploración, explotación",-99.187353,19.437499,jan-25
"Minera Mercedes Minerales, S. de R.L. de C.V.",Empresa,Ctra. Sinoquipe-Magdalena km 67.5+10. Colonia Cucurpe,Chupisonora,Cucurpe,84673,Sonora,Magdalena de Kino,631 116 4040,"Rivera Benjamín, Gerente de relaciones corporativas",www.bearcreekmining.com,benjamin.rivera@bearcreekmining.mx,"Oro, plata","Comercialización, desarrollo minero, exploración, explotación",-110.494921,30.329518,jan-25
"Minera Metalúrgica Aurum, S.A. de C.V.",Empresa,Domicilio conocido. Colonia Zona Centro,Guanaceví,Guanaceví,35400,Durango,Guanaceví,618 815 2961,"Loera Fragoso César Octavio, Director general",s/i,cloeraf@hotmail.com,"Oro, plata, plomo, zinc","Comercialización, desarrollo minero, exploración, explotación, extracción",-105.954939,25.931051,jan-25
"Minera Mexicana La Ciénega, S.A. de C.V.",Empresa,Guadalupe Patoni n.° 333. Colonia Del Maestro,Del Maestro,Durango,34240,Durango,Durango,618 818 3344,"Toledo Castillo Héctor Iván, Gerente",s/i,hector_toledo@frenilloplc.com,"Oro, plata, plomo, zinc","Desarrollo minero, exploración, explotación, extracción",-104.637711,24.031148,jan-25
"Minera Pender, S.A. de C.V.",Empresa,Articulo 124 n.° 203. Colonia Ley 57,Ley 57,Hermosillo,83100,Sonora,Hermosillo,662 207 0563,s/i,garibaldiresources.com,minera_pender@hotmail.com,"Oro, plata",Exploración,-110.966,29.123,jan-25
"Minera Penmont, S. de R.L. de C.V.",Empresa,"Callejón sin nombre Oeste, n.° 20, entre N y P. Colonia Centro",Heroica Caborca Centro,Caborca,83600,Sonora,Caborca,637 372 1935,"Rochin Martín Alfredo Gerardo, Gerente",www.fresnilloplc.com,martin-gerardo-rochin@fresnilloplc.com,"Oro, plata",Explotación,-112.864,31.144,jan-25
"Minera Piedra Azul, S.A de C.V.",Empresa,Javier de León n.° 707. Colonia Residencial Pitic,Pitic,Hermosillo,83150,Sonora,Hermosillo,662 285 5350,"Cázares Facundo, Exploraciones México / Fuentes Navarro Alejandro, Gerente administrativo",benditoresources.com,fcazares@benditoresources.com / alejandro.fuentes@minera-piedra-azul.com,"Cobre, molibdeno, oro, plata, plomo, zinc",Exploración,-110.94,29.1,jan-25
"Minera Plata Adelante, S.A. de C.V.",Empresa,Camino del Amanecer n.° 476. Colonia Fracc. Los Remedios,Los Remedios,Durango,34100,Durango,Durango,618 130 2512,"Castro Valdés Luis Renato, Vicepresidente de exploración",s/i,lcastro@edrsilver.com,"Oro, plata","Desarrollo minero, exploración, explotación, extracción",-104.682302,24.019084,jan-25
"Minera Plata Real, S. de R.L. de C.V.",Empresa,C. Valle Escondido n.° 5500. Colonia Complejo Industrial El Saucito,Punto Alto E-2,Chihuahua,31115,Chihuahua,Chihuahua,614 425 0636,"Contreras González Enrique, Gerente de planta de procesos / Huerta Luis Felipe, Director de proyectos",www.gatossilver.com,rhlosgatos@mprmex.com / info@gatossilver.com,"Conc. en plata, plomo y zinc, plata","Desarrollo minero, exploración, explotación",-106.13817,28.655477,jan-25
"Minera Preisan, S. de R.L.",Empresa,Palma de Mayorca 4b. Colonia Bosques del Acueducto,sin dato,sin dato,76022,Querétaro,Querétaro,759 728 3471,"Preisser Jorge, Director",www.preisan.com,preisserjorge@gmail.com,"Plomo, zinc",Extracción,-100.37538,20.59535,jan-25
"Minera Rarámuri, S.A. de C.V.",Empresa,Av. de las Industrias n.° 6900. Colonia Nombre de Dios,Zona Industrial Nombre de Dios,Chihuahua,31105,Chihuahua,Chihuahua,614 442 3100,"Calderón Salas Harry Mario, Gerente de materias primas GCC",s/i,hcalderons@gcc.com,"Agregados pétreos, arcilla, caliza, caolín, yeso",Extracción,-106.088527,28.682692,jan-25
"Minera Real de Ángeles, S.A. de C.V. (Unidad Asientos)",Empresa,Ctra. Tepezalá-Asientos s/n. Colonia Asientos,Asientos Centro,Asientos,20710,Aguascalientes,Asientos,496 967 6000,"Martínez Ochoa Luis Gerardo, Gerente general",www.minerafrisco.com.mx,edelgadom@minerafrisco.com.mx,"Cobre, oro, plata, plomo, zinc",Comercialización,-102.103151,22.226239,jan-25
"Minera Roble, S.A. de C.V. (Oficina 1)",Empresa,"Calz. Manuel Gómez Morín n.° 444, esq. Turín. Colonia Torreón Residencial",Torreón Residencial,Torreón,27268,Coahuila de Zaragoza,Torreón,871 729 3300,"Vázquez Humberto, Director de minas",www.penoles.com.mx,s/i,"Cobre, plomo, zinc","Comercialización, explotación, extracción",-103.401472,25.523139,jan-25
"Minera Roble, S.A. de C.V. (Oficina 2)",Empresa,Ctra. Planta de Beneficio s/n. Colonia Cuencamé de Ceniceros Centro,Cuencamé de Ceniceros Centro,Cuencamé,35800,Durango,Cuencamé,671 791 2000,"Vázquez Humberto, Director de minas",www.penoles.com.mx,info@penoles.com.mx,"Cobre, plata, plomo, zinc","Comercialización, exploración, extracción",-103.737694,25.061833,jan-25
"Minera Roca Rodando, S. de R.L. de C.V.",Empresa,Ing. Rogelio Villanueva Varela y Pagasa s/n. Colonia Nueva Victoria,Café Combate,Hermosillo,83165,Sonora,Hermosillo,662 289 1000,"Montijo Vejar Gerardo, Gerente de operaciones",www.imerys.com,gerardo.montijo@imerys.com,Wollastonita,Extracción,-111.446056,29.359204,jan-25
Minera Río Tinto S.A. de C.V.,Empresa,C. Eugenio Ramírez Calderón n.° 1404. Colonia San Felipe,San Felipe I,Chihuahua,31203,Chihuahua,Chihuahua,614 414 7191,"Ayub Touché Mario Humberto, Director general",s/i,mario.ayub@mrt.mx,"Cobre catódico, oro y plata (barra doree)","Exploración, explotación",-106.09096,28.642923,jan-25
"Minera Santa Cruz y Garibaldi, S.A. de C.V.",Empresa,"Miguel de Cervantes Saavedra n.°106, esq. Pedro Celestino Negrete. Colonia Victoria de Durango Centro",Victoria de Durango Centro,Durango,34000,Durango,Durango,618 811 4668,s/i,s/i,s/i,"Oro, plata","Comercialización, exploración, extracción",-104.661333,24.027694,jan-25
"Minera Saucito, S.A. de C.V.",Empresa,"Domicilio conocido, km 8 al suroeste de la mina Fresnillo. Colonia Valdecañas",Valdecañas,Fresnillo,99192,Zacatecas,Fresnillo,493 983 9000,"Alvídrez Octavio, Director ejecutivo",www.fresnilloplc.com; www.penoles.com.mx,ir@fresnilloplc.com,"Oro, plata, plomo, zinc","Comercialización, explotación",-102.926639,23.126889,jan-25
"Minera Secotec, S.A. de C.V.",Empresa,Campeche n.° 161 entre Reforma y Guadalupe Victoria. Colonia San Benito,San Benito,Hermosillo,83190,Sonora,Hermosillo,662 211 1958,"Galaz Escoboza Martín, Gerente general / Piggott Keith, Director general",goldgroupmining.com,martin.galaz@gazpai.com / granmin_@hotmail.com,Oro,"Comercialización, explotación",-110.96774,29.09788,jan-25
"Minera de Atocha, S.A. de C.V.",Empresa,Alberto M. Alvarado n.° 208. Colonia Los Ángeles,Los Ángeles,Durango,34076,Durango,Durango,618 130 0297,"Ysita del Hoyo Bernardo, Director general y CEO",www.mineradeatocha.com.mx,administracion@mineraatocha.com.mx,"Cobre, oro, plata, plomo","Comercialización, desarrollo minero",-104.680343,24.025315,jan-25
"Minera del Real de Guanaceví, S.A. de C.V.",Empresa,Prof. Everardo Gamiz n.° 219. Colonia Col. del Maestro,Del Maestro,Durango,34240,Durango,Durango,618 818 1601,"Alanís Mariscal Rodolfo Evaristo, Director general",www.dmv-mining.com,rodolfoalanis@dmv-mining.com,"Oro, plata, plomo, zinc","Comercialización, desarrollo minero, exploración, explotación, extracción",-104.638152,24.030395,jan-25
"Minera y Metalúrgica del Boleo, S.A.P.I de C.V.",Empresa,Ctra. Transpeninsular s/n. Colonia Nueva Santa Rosalía,Nueva Santa Rosalía,Mulegé,23920,Baja California Sur,Mulegé,615 152 5200,"Moncada Gracia Félix, Representante legal",www.mmboleo.com,felix.moncada@mmboleo.com,"Cobalto, cobre, zinc",Explotación,-112.295,27.376,jan-25
